GeoNameId,Name,Country,Latitude,Longitude,Altitude (m)
5885171,Angel Peak,CA,58.48553,-124.85859,6858
6115068,Queen Charlotte Island,CA,52.9995,-132.0034,null
5886180,Anticosti Island,CA,49.50014,-62.99859,null
3420834,Qaqqarsuaq,GL,64.11667,-51.35,1157
3419448,Tarajornitsut,GL,67.03333,-51.08333,300
3421530,Nipisat,GL,66.81667,-53.5,null
3424820,Akilia,GL,63.93333,-51.66667,null
5025577,Elm Point,US,48.99582,-95.28996,324
5031214,Indian Hill,US,48.33159,-93.07988,408
5039903,Oak Island,US,49.31,-94.84801,326
